GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rides24,javax.persistence.metamodel,PluralAttribute.CollectionType,44,0,0,0,5,0,1,0,1,0
Rides24,javax.persistence.metamodel,Attribute.PersistentAttributeType,74,0,0,0,8,0,1,0,1,0
Rides24,javax.persistence.metamodel,Bindable.BindableType,34,0,0,0,4,0,1,0,1,0
Rides24,javax.persistence.metamodel,Type.PersistenceType,44,0,0,0,5,0,1,0,1,0
Rides24,dataAccess,ObjectdbManagerServer,192,0,2,0,43,0,3,0,2,0
Rides24,dataAccess,DataAccess,1477,165,44,6,345,31,50,6,26,5
Rides24,dataAccess,ObjectdbManagerServer.new ActionListener() {...},48,0,0,0,12,0,2,0,2,0
Rides24,javax.transaction.xa,XAException,13,0,0,0,7,0,3,0,3,0
Rides24,javax.jdo,JDOFatalUserException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDODataStoreException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDOHelper,1866,0,194,0,480,0,152,0,55,0
Rides24,javax.jdo,JDOFatalDataStoreException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDOFatalInternalException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDOCanRetryException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDOHelper.new PrivilegedAction() {...},0,5,0,0,0,2,0,2,0,2
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationObjectReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationObjectReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationBooleanReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationBooleanReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationObjectReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationObjectReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationBooleanReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOHelper.new JDOImplHelper.StateInterrogationBooleanReturn() {...},4,3,0,0,1,1,1,1,1,1
Rides24,javax.jdo,JDOObjectNotFoundException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDOUserCallbackException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,JDOFatalException,34,0,0,0,14,0,7,0,7,0
Rides24,javax.jdo,ObjectState,147,0,0,0,17,0,3,0,3,0
